epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78259,1.3697,2.66841,1.15339,0.01473,0.92761,0.34656,0.24521,1.04365,2.76482,0.98192,0.000466199,0.000466199,0.000466199
2,6.76005,1.2545,1.602,1.08566,0.52843,0.38553,0.4445,0.29624,1.13724,2.06447,1.04144,0.000933201,0.000933201,0.000933201
3,9.68082,1.26666,1.49865,1.1,0.46002,0.64365,0.52447,0.36154,1.08456,1.43168,1.02952,0.00139077,0.00139077,0.00139077
4,12.5484,1.23121,1.44132,1.08696,0.54661,0.61461,0.61884,0.43564,1.06045,1.27138,1.05759,0.00138656,0.00138656,0.00138656
5,15.4402,1.20452,1.30432,1.07434,0.63412,0.6338,0.68689,0.48704,1.04958,1.17183,1.01981,0.00137241,0.00137241,0.00137241
6,18.3021,1.18346,1.27669,1.07351,0.60829,0.58638,0.60721,0.42236,1.09404,1.28258,1.05535,0.00135826,0.00135826,0.00135826
7,21.1404,1.1669,1.23307,1.06013,0.56263,0.67764,0.63385,0.45702,1.0129,1.18765,1.02152,0.00134412,0.00134412,0.00134412
8,23.987,1.16293,1.19072,1.05469,0.67526,0.64207,0.71319,0.52658,0.99434,1.23866,1.00514,0.00132997,0.00132997,0.00132997
9,26.8068,1.12956,1.16024,1.05611,0.66762,0.71344,0.70363,0.49971,1.03942,1.12257,1.02495,0.00131582,0.00131582,0.00131582
10,29.6247,1.11963,1.13818,1.04299,0.64107,0.66973,0.69766,0.49682,1.01044,1.19048,1.01601,0.00130168,0.00130168,0.00130168
11,32.4239,1.13019,1.09328,1.04379,0.67954,0.69482,0.73407,0.53356,0.96506,1.09434,0.99997,0.00128753,0.00128753,0.00128753
12,35.2494,1.10446,1.07571,1.03017,0.6595,0.69868,0.74329,0.55306,0.9772,1.02259,1.00752,0.00127338,0.00127338,0.00127338
13,38.0535,1.09709,1.07993,1.02159,0.71426,0.69036,0.73399,0.56071,0.9544,1.04252,0.98665,0.00125923,0.00125923,0.00125923
14,40.9264,1.07772,1.03358,1.02108,0.68189,0.67159,0.70549,0.51761,0.98287,1.21461,1.02042,0.00124509,0.00124509,0.00124509
15,43.7429,1.08702,1.04613,1.03044,0.69923,0.74138,0.74512,0.55085,0.97743,0.92457,1.00716,0.00123094,0.00123094,0.00123094
16,46.5774,1.08181,1.00807,1.0181,0.63749,0.72975,0.73663,0.55168,0.94043,0.94832,0.99297,0.00121679,0.00121679,0.00121679
17,49.4093,1.06674,0.99672,1.01948,0.72417,0.65859,0.76053,0.57047,0.94402,0.98688,0.98133,0.00120265,0.00120265,0.00120265
18,52.2534,1.05222,0.9898,1.00692,0.73928,0.717,0.79067,0.59062,0.95566,0.94183,0.99874,0.0011885,0.0011885,0.0011885
19,55.1039,1.06535,0.96472,1.01152,0.64157,0.6993,0.69441,0.51359,0.95326,1.05111,1.00363,0.00117435,0.00117435,0.00117435
20,57.9623,1.06137,0.96783,1.01211,0.78039,0.66509,0.77506,0.57419,0.96613,1.03752,1.00759,0.00116021,0.00116021,0.00116021
21,60.7759,1.07472,0.96052,1.0195,0.71066,0.74949,0.78413,0.59715,0.93588,0.91627,0.98814,0.00114606,0.00114606,0.00114606
22,63.5867,1.03184,0.92555,1.00542,0.78404,0.69702,0.77633,0.59557,0.93819,0.86813,0.99416,0.00113191,0.00113191,0.00113191
23,66.4624,1.02329,0.9128,0.99416,0.66157,0.66246,0.69032,0.51548,0.91965,0.9917,0.99127,0.00111776,0.00111776,0.00111776
24,69.3051,1.01631,0.91705,0.99516,0.7152,0.71044,0.72476,0.5398,0.93979,0.94521,0.99907,0.00110362,0.00110362,0.00110362
25,72.207,1.02954,0.90785,0.99712,0.75438,0.69822,0.7875,0.60431,0.93036,0.95989,0.98497,0.00108947,0.00108947,0.00108947
26,75.2243,1.00152,0.88726,0.99285,0.68994,0.75665,0.79548,0.61917,0.91077,0.86357,0.9804,0.00107532,0.00107532,0.00107532
27,78.1467,1.00326,0.88436,1.00397,0.74223,0.74338,0.7814,0.59098,0.9456,0.93706,1.00026,0.00106118,0.00106118,0.00106118
28,81.0222,1.00969,0.89553,0.99596,0.73934,0.73174,0.75176,0.57247,0.93292,0.923,0.99335,0.00104703,0.00104703,0.00104703
